site_uuid,site_name,id,ticket_number,entry_time,exit_time,transaction_time,duration_mins,payment_method,card_scheme,full_price,discount_code,product_id,discounted_price,vat_pct,tax_amount,charged,psp,acquirer,psp_reference
3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,EE-000001,TKT-SLS-000001,2025-03-01T16:06:23Z,2025-03-01T17:01:23Z,2025-03-01T16:58:23Z,55,DEBIT_CARD,VISA,£2.00,,,£2.00,20,£0.33,£2.00,SIX,Worldpay,SIX-D6B8920FD69B85E4
3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,EE-000002,TKT-SLS-000002,2025-03-01T12:06:09Z,2025-03-01T12:31:09Z,2025-03-01T12:27:09Z,25,CONTACTLESS,MASTERCARD,£2.00,,,£2.00,20,£0.33,£2.00,SIX,Worldpay,SIX-66EE5DAF93C7D0EA
3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,EE-000003,TKT-SLS-000003,2025-03-01T16:04:29Z,2025-03-01T16:20:29Z,2025-03-01T16:15:29Z,16,CONTACTLESS,MASTERCARD,£2.00,,,£2.00,20,£0.33,£2.00,SIX,Worldpay,SIX-7AD0AD4BF47B32EB
3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,EE-000004,TKT-SLS-000004,2025-03-01T10:56:29Z,2025-03-01T12:05:29Z,2025-03-01T12:02:29Z,69,CONTACTLESS,MASTERCARD,£3.50,VALID-CODE,PROD-VC-004,£0.00,20,£0.00,£0.00,SIX,Worldpay,SIX-E1E97921805CE4D7
3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,EE-000005,TKT-SLS-000005,2025-03-01T16:31:58Z,2025-03-01T19:01:58Z,2025-03-01T19:00:58Z,150,CREDIT_CARD,MASTERCARD,£5.00,,,£5.00,20,£0.83,£5.00,SIX,Worldpay,SIX-90543D81F4AF4E25
3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,EE-000006,TKT-SLS-000006,2025-03-01T18:14:50Z,2025-03-01T19:00:50Z,2025-03-01T18:55:50Z,46,CREDIT_CARD,MAESTRO,£2.00,,,£2.00,20,£0.33,£2.00,SIX,Worldpay,SIX-C81CFF7CAF2CD199
3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,EE-000007,TKT-SLS-000007,2025-03-01T18:06:56Z,2025-03-01T22:59:56Z,2025-03-01T22:54:56Z,293,APP,MASTERCARD,£7.00,,,£7.00,20,£1.17,£7.00,SIX,Worldpay,SIX-A85BBE16F4187345
3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,EE-000008,TKT-SLS-000008,2025-03-01T17:28:11Z,2025-03-01T17:52:11Z,2025-03-01T17:47:11Z,24,DEBIT_CARD,AMEX,£2.00,,,£2.00,20,£0.33,£2.00,SIX,AMEX,SIX-1F4825C5C4B42B31
3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,EE-000009,TKT-SLS-000009,2025-03-01T15:07:38Z,2025-03-01T15:36:38Z,2025-03-01T15:31:38Z,29,CASH,N/A,£2.00,,,£2.00,20,£0.33,£2.00,N/A,N/A,N/A
3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,EE-000010,TKT-SLS-000010,2025-03-01T14:24:28Z,2025-03-01T20:00:28Z,2025-03-01T19:58:28Z,336,CONTACTLESS,MASTERCARD,£7.00,,,£7.00,20,£1.17,£7.00,SIX,Worldpay,SIX-24CA64155B2EDAEF
