id,site_uuid,site_name,entry_time,exit_time,duration_mins,vehicle_class,payment_method,card_scheme,charge,discount_code,product_id,psp,acquirer,psp_reference
EE-000001,3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,2025-03-01T17:09:32Z,2025-03-01T19:32:32Z,143,VAN,DEBIT_CARD,MAESTRO,£5.00,,,SIX,Worldpay,SIX-12666B1A4DFE645C
EE-000002,3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,2025-03-01T14:39:21Z,2025-03-01T15:23:21Z,44,CAR,CREDIT_CARD,MASTERCARD,£2.00,,,SIX,Worldpay,SIX-7F1FADEBC06F0D6F
EE-000003,3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,2025-03-01T18:49:19Z,2025-03-01T20:21:19Z,92,CAR,CONTACTLESS,VISA,£3.50,,,SIX,Worldpay,SIX-8A9009591D65B9DF
EE-000004,3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,2025-03-01T14:43:52Z,2025-03-01T17:55:52Z,192,MOTORCYCLE,CONTACTLESS,VISA,£5.00,,,SIX,Worldpay,SIX-60B23F83B1CAD806
EE-000005,3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,2025-03-01T15:42:20Z,2025-03-01T19:28:20Z,226,CAR,CONTACTLESS,VISA,£5.00,,,SIX,Worldpay,SIX-63800ED0A8758599
EE-000006,3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,2025-03-01T12:55:31Z,2025-03-01T15:31:31Z,156,MOTORCYCLE,CONTACTLESS,VISA,£5.00,,,SIX,Worldpay,SIX-919900B59EB4210F
EE-000007,3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,2025-03-01T15:57:26Z,2025-03-01T20:55:26Z,298,CAR,DEBIT_CARD,VISA,£7.00,,,SIX,Worldpay,SIX-4D269C0BA7FFF8D5
EE-000008,3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,2025-03-01T19:38:15Z,2025-03-01T19:59:15Z,21,MOTORCYCLE,CONTACTLESS,AMEX,£2.00,,,SIX,AMEX,SIX-5D64684792D84BA3
EE-000009,3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,2025-03-01T15:49:49Z,2025-03-01T16:30:49Z,41,DISABLED_BADGE,CONTACTLESS,MASTERCARD,£0.00,BLUE-BADGE,PROD-BB-001,SIX,Worldpay,SIX-0690E2A56404E94C
EE-000010,3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,2025-03-01T11:48:58Z,2025-03-01T13:08:58Z,80,CAR,DEBIT_CARD,VISA,£3.50,,,SIX,Worldpay,SIX-9900A7BB735BD3C5
EE-000011,3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,2025-03-01T15:42:45Z,2025-03-01T16:27:45Z,45,CAR,APP,AMEX,£2.00,,,SIX,AMEX,SIX-F9B863DCD8DD208F
EE-000012,3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,2025-03-01T12:10:54Z,2025-03-01T13:21:54Z,71,MOTORCYCLE,CONTACTLESS,MAESTRO,£3.50,,,SIX,Worldpay,SIX-3641D925CEAD01DE
EE-000013,3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,2025-03-01T10:54:46Z,2025-03-01T15:21:46Z,267,CAR,DEBIT_CARD,VISA,£7.00,,,SIX,Worldpay,SIX-B344702E948AEC78
EE-000014,3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,2025-03-01T15:22:25Z,2025-03-01T19:26:25Z,244,MOTORCYCLE,CASH,N/A,£7.00,,,N/A,N/A,N/A
EE-000015,3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,2025-03-01T14:42:21Z,,,CAR,APP,VISA,£3.50,,,SIX,Worldpay,SIX-4B616F8AB24D14B9
EE-000016,3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,2025-03-01T13:01:10Z,2025-03-01T15:30:10Z,149,VAN,CONTACTLESS,MASTERCARD,£5.00,,,SIX,Worldpay,SIX-8E36E770823AE936
EE-000017,3a1b2c3d-4e5f-6789-abcd-ef0123456701,Seafront Long Stay,2025-03-01T13:23:43Z,2025-03-01T14:10:43Z,47,CAR,DEBIT_CARD,AMEX,£2.00,,,SIX,AMEX,SIX-C6F70EAF4EEC7368
