car_park_slug,car_park_name,txn_ref,vrm,arrival,departure,transaction_time,stay_minutes,payment_type,card_scheme,net_charge,discount_code,product_id,discounted_net,vat_rate,vat_amount,amount_paid,psp,acquirer,psp_reference
riverside-retail,Riverside Retail Park,VP-20250301-62168476,PG87 ELG,01/03/2025 10:00,01/03/2025 11:29,01/03/2025 11:24,,CASH,N/A,3.33,PROMO-20,PROD-PR-003,2.66,0.2,0.53,3.19,N/A,N/A,N/A
riverside-retail,Riverside Retail Park,VP-20250301-01129222,LV47 LER,01/03/2025 19:24,01/03/2025 20:09,01/03/2025 20:04,45,CASH,N/A,2.08,,,2.08,0.2,0.42,2.5,N/A,N/A,N/A
riverside-retail,Riverside Retail Park,VP-20250301-79640431,UF76 PHO,01/03/2025 16:27,01/03/2025 19:14,01/03/2025 19:10,167,Contactless,MASTERCARD,5.0,,,5.0,0.2,1.0,6.0,ADVAM,Worldpay,ADVAM-20250322-72090914
riverside-retail,Riverside Retail Park,VP-20250301-42085482,NH83 JRN,01/03/2025 13:52,01/03/2025 16:21,01/03/2025 16:19,149,Credit_Card,MAESTRO,5.0,,,5.0,0.2,1.0,6.0,ADVAM,Worldpay,ADVAM-20250321-76209803
riverside-retail,Riverside Retail Park,VP-20250301-14516433,UG34 UUP,01/03/2025 16:11,01/03/2025 17:31,01/03/2025 17:29,,app,VISA,3.33,,,3.33,0.2,0.67,4.0,ADVAM,Worldpay,ADVAM-20250314-62213200
riverside-retail,Riverside Retail Park,VP-20250301-98669401,DR89 XBB,01/03/2025 18:49,01/03/2025 20:49,01/03/2025 20:46,120,CREDIT_CARD,VISA,3.33,,,3.33,0.2,0.67,4.0,ADVAM,Worldpay,ADVAM-20250329-97478492
riverside-retail,Riverside Retail Park,VP-20250301-41225894,,01/03/2025 09:58,01/03/2025 11:32,01/03/2025 11:28,94,Credit_Card,MAESTRO,3.33,,,3.33,0.2,0.67,4.0,ADVAM,Worldpay,ADVAM-20250325-76141819
riverside-retail,Riverside Retail Park,VP-20250301-41949155,SF32 XDR,01/03/2025 18:38,01/03/2025 22:55,01/03/2025 22:51,257,credit_card,VISA,7.08,,,7.08,0.2,1.42,8.5,ADVAM,Worldpay,ADVAM-20250312-70999651
riverside-retail,Riverside Retail Park,VP-20250301-26457886,HE82 DTA,01/03/2025 11:50,01/03/2025 12:12,01/03/2025 12:08,22,APP,MASTERCARD,2.08,,,2.08,0.2,0.42,2.5,ADVAM,Worldpay,ADVAM-20250306-22783120
riverside-retail,Riverside Retail Park,VP-20250301-29095916,AU14 YWF,01/03/2025 14:45,01/03/2025 14:26,01/03/2025 16:54,,app,VISA,5.0,,,5.0,0.2,1.0,6.0,ADVAM,Worldpay,ADVAM-20250331-16728707
riverside-retail,Riverside Retail Park,VP-20250301-25689111,XO36 CXN,01/03/2025 09:12,01/03/2025 12:12,01/03/2025 12:08,180,CONTACTLESS,VISA,5.0,,,5.0,0.2,1.0,6.0,ADVAM,Worldpay,ADVAM-20250314-12975015
riverside-retail,Riverside Retail Park,VP-20250301-52723277,RE15 AAF,01/03/2025 10:41,01/03/2025 15:46,01/03/2025 15:43,305,CREDIT_CARD,MASTERCARD,7.08,,,7.08,0.2,1.42,8.5,ADVAM,Worldpay,ADVAM-20250329-02899021
riverside-retail,Riverside Retail Park,VP-20250301-03494169,DM71 VMW,01/03/2025 11:30,01/03/2025 15:58,01/03/2025 15:57,268,contactless,VISA,7.08,,,7.08,0.2,1.42,8.5,ADVAM,Worldpay,ADVAM-20250301-67441055
riverside-retail,Riverside Retail Park,VP-20250301-89543439,OU55 GVF,01/03/2025 16:25,01/03/2025 16:20,01/03/2025 18:04,,Credit_Card,VISA,3.33,,,3.33,0.2,0.67,4.0,ADVAM,Worldpay,ADVAM-20250330-22827814
riverside-retail,Riverside Retail Park,VP-20250301-24725626,,01/03/2025 19:59,01/03/2025 21:51,01/03/2025 21:48,112,app,AMEX,3.33,,,3.33,0.2,0.67,4.0,ADVAM,AMEX,ADVAM-20250301-67588121
riverside-retail,Riverside Retail Park,VP-20250301-01393983,,01/03/2025 13:05,01/03/2025 15:58,01/03/2025 15:56,173,app,MAESTRO,5.0,,,5.0,0.2,1.0,6.0,ADVAM,Worldpay,ADVAM-20250315-94310785
riverside-retail,Riverside Retail Park,VP-20250301-14601247,NL71 XTE,01/03/2025 13:10,01/03/2025 14:02,01/03/2025 13:57,52,CASH,N/A,2.08,,,2.08,0.2,0.42,2.5,N/A,N/A,N/A
riverside-retail,Riverside Retail Park,VP-20250301-54575761,FG78 DLE,01/03/2025 10:41,01/03/2025 14:25,01/03/2025 14:20,224,CREDIT_CARD,AMEX,5.0,,,5.0,0.2,1.0,6.0,ADVAM,AMEX,ADVAM-20250303-98644627
riverside-retail,Riverside Retail Park,VP-20250301-95625319,NW27 SHS,01/03/2025 12:35,01/03/2025 14:28,01/03/2025 14:27,113,Credit_Card,MASTERCARD,3.33,,,3.33,0.2,0.67,4.0,ADVAM,Worldpay,ADVAM-20250316-82768809
riverside-retail,Riverside Retail Park,VP-20250301-07223812,HW66 FCM,01/03/2025 16:25,01/03/2025 20:31,01/03/2025 20:28,246,Debit_Card,VISA,7.08,,,7.08,0.2,1.42,8.5,ADVAM,Worldpay,ADVAM-20250307-96373552
riverside-retail,Riverside Retail Park,VP-20250301-39433654,YW70 PUR,01/03/2025 10:54,01/03/2025 13:44,01/03/2025 13:40,170,debit_card,VISA,5.0,,,5.0,0.2,1.0,6.0,ADVAM,Worldpay,ADVAM-20250314-49149292
riverside-retail,Riverside Retail Park,VP-20250301-93645738,BN51 HWR,01/03/2025 09:07,01/03/2025 10:47,01/03/2025 10:44,100,DEBIT_CARD,VISA,3.33,,,3.33,0.2,0.67,4.0,ADVAM,Worldpay,ADVAM-20250310-05422655
riverside-retail,Riverside Retail Park,VP-20250301-50853866,,01/03/2025 14:42,01/03/2025 16:31,01/03/2025 16:28,,debit_card,VISA,3.33,,,3.33,0.2,0.67,4.0,ADVAM,Worldpay,ADVAM-20250326-19787882
